2025-04-14 10:37:28.108 | ERROR    | main:purchase_opt:173 - Optimization failed!
2025-04-14 10:37:40.235 | ERROR    | main:purchase_opt:173 - Optimization failed!
2025-05-09 15:49:36.378 | ERROR    | main:coal_mix_opt_v2:152 - '>' not supported between instances of 'list' and 'int'
2025-05-09 15:51:11.171 | ERROR    | main:coal_mix_opt_v2:152 - '>' not supported between instances of 'list' and 'int'
2025-05-09 15:54:00.860 | ERROR    | main:coal_mix_opt_v2:152 - axis 1 is out of bounds for array of dimension 1
2025-05-09 15:59:39.738 | WARNING  | src.coal_mix_opt_v2:coal_mixed_integer_optimization_v2:110 - 指定了煤种[3]但是未指定煤种比例即煤种比例给出的是0，这可能导致求解失败
2025-05-09 15:59:39.738 | WARNING  | src.coal_mix_opt_v2:coal_mixed_integer_optimization_v2:110 - 指定了煤种[1]但是未指定煤种比例即煤种比例给出的是0，这可能导致求解失败
2025-05-12 09:31:05.091 | WARNING  | src.coal_mix_opt_v2:coal_mixed_integer_optimization_v2:116 - 指定了煤种[3]但是未指定煤种比例即煤种比例给出的是0，这可能导致求解失败
2025-05-12 09:31:05.102 | WARNING  | src.coal_mix_opt_v2:coal_mixed_integer_optimization_v2:116 - 指定了煤种[1]但是未指定煤种比例即煤种比例给出的是0，这可能导致求解失败
2025-05-23 11:07:42.629 | ERROR    | main:coal_mix_opt:129 - Optimization failed!
2025-05-23 11:10:55.353 | ERROR    | main:coal_mix_opt:129 - Optimization failed!
2025-05-23 11:11:53.700 | ERROR    | main:coal_mix_opt:129 - Optimization failed!
2025-05-23 11:12:08.547 | ERROR    | main:coal_mix_opt:129 - Optimization failed!
2025-05-23 11:15:11.579 | ERROR    | main:coal_mix_opt:129 - Optimization failed!
2025-05-23 11:16:23.085 | ERROR    | main:coal_mix_opt:129 - Optimization failed!
2025-05-23 11:20:24.657 | ERROR    | main:coal_mix_opt:129 - name 'constraint0' is not defined
2025-05-23 11:20:48.298 | ERROR    | main:coal_mix_opt:129 - Optimization failed!
2025-07-03 09:24:36.776 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-03 09:25:29.788 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-03 09:26:36.039 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-03 09:26:45.793 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-03 09:26:53.781 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-03 09:27:03.580 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-03 09:27:14.394 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-03 09:29:10.940 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:06:45.779 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:09:57.906 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:10:34.715 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:10:46.186 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:12:53.976 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:13:00.482 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:13:04.367 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:13:06.876 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:13:18.658 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:13:23.350 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:13:29.643 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:13:34.495 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:15:59.632 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-07 14:23:36.452 | ERROR    | main:coal_mix_opt_v2:152 - Optimization failed!
2025-07-15 16:04:11.910 | ERROR    | main:purchase_opt:173 - Optimization failed!
